,semel,shem_eretz,uc2010,Jewso10,Arabs10,Olim10,AhuzGidulShnati10,ribuitivishnati10,p0509_0_4,p0509_5_14,p0509_15_24,p0509_25_34,p0509_35_44,p0509_45_54,p0509_55_64,p0509_65_74,p0509_75p,RPiryon0509_tot,Rabort0509_15_49,Rabort_up,Rabort_dn
47,,,8.2,96.9,3.1,17.7,2.7,168,10.9903596,18.84599541,16.83738936,14.65808228,11.74794776,10.53200516,7.77925661,5.276673276,3.33229054,3.43978178,15.5,17.99876752,12.99343205
48,,,5,0.3,99.7,0.1,2.6,133,14.25697026,24.98438433,16.38528171,16.24365132,12.9103147,7.435523849,4.383795853,2.460723219,0.939354754,3.709794941,13.7,16.64110767,10.81084117
49,,,9.4,99.9,0.1,3.3,3.2,304,15.51319323,27.65774713,19.34687471,12.0751904,9.17189014,7.663114161,4.710797077,2.301020414,1.560172737,5.329175283,2.4,3.402550648,1.429951336
50,,,6.9,1,99,0,2.5,140,13.04540415,25.20131412,17.4944731,15.39137863,13.55741376,7.676805302,3.942231637,2.504968027,1.186011278,3.113928515,8.3,10.25746053,6.331015493
51,,,5.7,0.1,99.9,0,1.7,104,12.93260869,25.06926359,20.26666327,17.45237088,11.62875521,6.98948727,3.237547147,1.510795139,0.912508806,2.949799608,7.4,9.444284715,5.419344471
52,,,6.5,0.3,99.7,0.1,2.5,158,13.58978256,26.36445354,19.59598231,16.01301501,11.56226987,6.565439501,3.48509377,1.800635324,1.0233281,3.472595786,7.8,9.674012637,5.829789548
53,,,4.4,0.6,99.4,0,2.4,113,14.98183167,26.80792711,19.47044354,14.27601854,11.32197298,7.271607405,3.175031675,1.726076645,0.969090442,4.043149691,7.9,10.29174532,5.436664606
54,,,7.7,0.2,99.8,0,2.5,202,13.75938969,25.81993751,20.47536128,14.47162788,11.74563731,7.414228356,3.479202562,1.795326168,1.039289246,3.580495609,3.4,4.559061386,2.187946259
55,,,9.8,0.1,99.9,0,3.7,372,20.41125182,28.52583357,18.69206722,14.4965073,8.791336655,4.221077523,2.976031113,1.242494551,0.64340025,6.073015448,7,8.674667664,5.352365635
56,,,6.9,99.6,0.4,51.7,0.7,38,6.449733258,14.4226127,13.66257035,12.62425539,13.79001358,13.27655977,10.0393735,7.992790096,7.742091364,1.769455884,12.4,14.67932406,10.04517017
57,,,2.2,100,0,4.7,-0.2,48,8.137976667,21.59246706,41.28942068,5.955479408,7.534457116,9.113342515,4.136637461,1.483474026,0.75674506,5.266797351,3.2,5.501704448,0.823409639
58,,,6.2,99.9,0.1,9.2,6.4,81,11.58815526,23.63105548,14.9393462,10.77214041,18.26260826,12.35670269,5.620990791,2.115932023,0.713068884,2.577261462,11.7,14.48066422,8.912077462
59,,,2.6,100,0,16.1,9.5,129,14.45868005,27.78081485,21.59650874,11.32262895,9.226902403,8.479762696,4.296016831,1.542492473,1.296193005,5.530702815,0,0.901989988,-0.292475789
60,,,4.2,100,0,12,3.5,27,5.863697539,17.54536987,17.09790034,8.974371893,13.07046182,16.47275333,12.337466,6.234786814,2.403192387,2.004205549,10.3,12.97922915,7.575010147
61,,,9.3,100,0,7.4,-1.6,82,5.602308929,20.75206432,19.62957468,8.729552953,15.91088411,16.45476798,9.733030362,2.060777086,1.127039579,1.628233558,5.5,6.617835798,4.291258694
62,,,2.7,1,99,0,2.7,64,17.31505623,31.13187229,16.262139,15.47783221,9.758205374,5.103659752,3.429713598,1.411815761,0.109705799,4.130711352,9.1,12.82876249,5.409188701
63,,,3.3,96.4,3.6,20.1,-3.6,64,10.55424316,20.80841116,13.08147802,13.5965827,18.62012671,12.23763612,6.457709415,3.037821273,1.605991431,2.552849431,10.8,13.75047326,7.94203045
64,,,5.6,98.9,1.1,4.3,1.9,45,7.514276011,18.66297879,16.41519304,10.88182397,14.09906086,15.05840771,10.76273996,3.906923829,2.698595823,1.999675706,10.6,12.97907049,8.182973632
65,,,6.3,99.4,0.6,3.6,3.4,97,7.734335114,19.77397725,17.12518553,10.7456789,14.312785,13.91671844,10.14742036,4.393171618,1.850727784,2.449274138,10.7,12.94845147,8.513511776
66,,,5.9,99.1,0.9,3.9,2.1,64,6.949778989,19.80632897,18.58005727,9.697124241,14.53391231,15.1782538,10.94739962,3.595594323,0.71155047,2.236894314,8.7,10.84818687,6.566598937
67,,,2.4,99.8,0.2,4.5,0.3,33,9.418306613,25.67332089,17.58115093,9.765034347,19.20428721,13.5066256,3.850026413,0.774178743,0.227069251,1.918827424,11.4,14.84018612,7.978506523
68,,,2.6,99.7,0.3,2.7,1.8,38,9.421534543,22.64712839,14.91514063,10.80453378,17.65093899,13.44024521,9.301887674,1.433022709,0.385568077,2.31117804,8.8,12.01775214,5.542106072
69,,,7.5,0.1,99.9,0,5.7,265,19.58193766,32.2449518,18.8437376,13.2082851,8.143623666,4.664455427,1.843460308,1.026407812,0.443140635,5.885065361,4.4,5.886735896,2.862067511
70,,,5.8,0.1,99.9,0,2.6,122,12.2069537,24.77028079,19.01692898,14.45413559,11.67696687,8.938076298,5.064832475,2.665485871,1.206339432,3.14873443,4,5.516991807,2.457726337
71,,,2.1,100,0,3,0.4,17,6.32778603,21.97363391,20.11681827,9.792804242,16.21914794,15.12491491,7.600874171,2.183354336,0.660666182,1.845330563,7,10.00720683,4.026139945
72,,,5.7,0,100,0,1.9,109,12.36679227,23.28700943,19.46515921,17.77610207,12.01758428,7.694843661,4.113682119,1.867801402,1.41102555,2.863022195,3.8,5.2983267,2.400069167
73,,,7.4,0.1,99.9,0,1.7,158,13.4921345,25.46504075,20.82477526,16.31837543,11.10767864,6.081568262,3.203994762,2.222596228,1.283836174,3.176667079,4.8,6.260387361,3.358351886
74,,,2.5,100,0,4.5,2.7,28,8.892877458,30.38564721,13.69218686,5.999974695,22.87805836,13.89245253,2.750321239,0.816491547,0.691990104,2.172619982,11.5,15.20957466,7.751981359
